name,survey,n_obs,baseline_d,mag_median,amplitude,period_ls,power_ls,fap_ls,sl_ls,cov_ls,has_minent,period_me,entropy_me,sl_me,cov_me,dP,dP_rel,agree,harmonic
VVV_b278_13599759007805,VVV,55,3132.331240270003,15.28662109375,1.1260231018066396,0.12399559541108057,0.49654299953940984,7.940764756578614e-06,14.992697279872154,0.85,False,,,,,,,False,
VVV_b278_13685773009175,VVV,169,3268.155862300002,14.588014602661133,0.4909322738647468,0.18135247964588774,0.8898379976692,1.875364569893824e-76,9.77315515069891,1.0,True,0.1813524796459071,0.7503327680208922,9.773155150564985,1.0,-1.9345636204093353e-14,-1.0667423043713514e-13,True,≈ P_ME
VVV_b278_13587472000174,VVV,63,3393.982569339998,14.689970970153809,1.038551998138427,0.2154307967837617,0.41040978177631776,6.520839481128627e-05,16.837325592454874,0.85,False,,,,,,,False,
VVV_b278_13653000013424,VVV,63,3243.0794203900005,14.065564155578613,1.4204339027404789,0.10330907874315966,0.2531567520066677,0.06535933274442378,11.234013757329341,0.9,False,,,,,,,False,
VVV_b278_13632521007598,VVV,165,3268.155862300002,14.77536678314209,0.5368232727050781,0.5326967057695271,0.6187461690731152,3.078878809363927e-31,13.420211058647933,1.0,True,0.5326880231618024,1.277268518883218,13.506798966380675,1.0,8.682607724685987e-06,1.6299611305600294e-05,True,≈ P_ME
VVV_b278_13624334002015,VVV,158,3268.1561311900005,14.36564588546753,0.6141585350036625,0.1020166545985495,0.030274868352197087,0.9999999999999888,34.46985415097363,1.0,False,,,,,,,False,
VVV_b278_13628427005194,VVV,168,3268.156239060001,14.121639251708984,0.4917406082153324,0.5928718844941236,0.4042367407170988,4.892438914346777e-16,10.253949507600383,1.0,False,,,,,,,False,
VVV_b278_13628432007609,VVV,53,1963.8174646000043,15.103265762329102,1.1611419677734371,0.11120974333170067,0.39367702322082637,0.00183761918411537,15.441643893092467,0.95,False,,,,,,,False,
VVV_b278_13648903003795,VVV,129,3268.156372880003,14.98541259765625,1.2724288940429673,0.11694115805766041,0.42697526328069213,9.466183642366848e-13,26.490117940165966,1.0,False,,,,,,,False,
VVV_b278_13669392000118,VVV,65,2532.138380739998,14.920025825500488,1.0153972625732415,0.14452420768832608,0.41425072945820923,3.336331864385596e-05,12.9949756328195,1.0,False,,,,,,,False,
VVV_b278_13595657001656,VVV,57,3243.0790429899935,14.918160438537598,0.9728654861450199,0.10795973959939453,0.30564616570189324,0.014817049640417858,14.1001292599959,0.85,False,,,,,,,False,
